,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Default,HighMonthlyCharges,ShortTenure
2773,984,0,0,0,0,12.0,1,0,2,1,1,1,1,1,1,1,0,3,19.7,260.9,0,0,1
5113,5534,0,0,0,0,23.0,1,0,0,0,0,2,0,0,0,0,0,1,49.7,1081.25,0,0,1
2217,5729,1,0,0,0,10.0,1,0,2,1,1,1,1,1,1,1,0,3,19.5,225.85,0,0,1
1589,6968,0,1,0,0,65.0,0,1,0,0,2,2,0,2,2,2,1,0,53.5,3517.9,0,0,0
2284,3783,1,1,0,0,72.0,1,2,2,1,1,1,1,1,1,2,1,1,25.1,1789.9,0,0,0
2837,433,1,0,1,0,40.0,1,2,0,0,2,0,2,2,0,1,0,1,70.75,2921.75,0,1,0
1225,596,1,0,0,0,17.0,1,2,0,2,0,0,0,0,2,0,0,0,65.75,1111.2,0,0,1
3696,1456,0,0,1,0,40.0,1,2,0,0,2,0,0,2,0,1,0,0,63.9,2635.0,0,0,0
5482,1879,0,0,1,1,72.0,1,2,0,2,0,2,2,2,2,2,1,0,84.2,5986.55,0,1,0
3435,6597,1,0,0,1,53.0,1,0,1,2,2,2,0,0,2,1,0,2,95.95,5036.9,0,1,0
6301,2825,0,1,1,0,31.0,0,1,0,2,2,2,0,0,2,1,1,1,50.4,1580.1,0,0,0
3003,3338,1,0,0,0,2.0,1,0,1,0,2,0,0,0,0,0,1,2,74.75,144.8,0,1,1
6440,183,1,0,1,1,52.0,0,1,0,0,2,2,2,2,0,2,0,3,50.2,2554.0,0,0,0
630,2090,0,0,1,0,25.0,1,0,1,0,0,0,2,2,2,0,1,2,95.15,2395.7,0,1,1
5375,66,1,0,1,1,16.0,1,2,1,0,0,2,0,2,0,0,1,0,90.8,1442.2,0,1,1
5975,3415,1,0,1,0,5.0,1,2,1,2,0,0,0,0,2,0,1,2,89.15,413.25,0,1,1
6544,4204,0,0,1,0,26.0,1,0,0,0,2,0,2,2,2,0,1,2,73.05,1959.5,0,1,1
128,4597,0,0,1,1,7.0,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,0,1
5362,1011,1,0,1,0,60.0,1,0,2,1,1,1,1,1,1,2,0,3,19.95,1258.15,0,0,0
5233,2506,1,0,0,0,9.0,1,0,0,0,0,0,0,0,0,0,1,3,44.4,348.15,0,0,1
4349,1491,0,0,0,0,68.0,1,2,0,0,2,2,0,2,2,2,1,2,80.65,5330.2,0,1,0
1574,543,0,0,1,1,15.0,1,0,0,0,0,0,0,0,0,0,0,2,46.3,639.45,0,0,1
349,4187,0,0,0,1,41.0,1,0,2,1,1,1,1,1,1,1,1,1,20.25,865.0,0,0,0
2516,4980,1,1,1,0,29.0,1,0,1,2,0,2,0,0,2,1,0,0,90.1,2656.7,0,1,0
7042,1756,0,0,0,0,72.0,1,0,2,1,1,1,1,1,1,2,1,0,21.15,1419.4,0,0,0
5560,6174,0,0,1,1,70.0,1,0,2,1,1,1,1,1,1,2,0,0,19.8,1378.75,0,0,0
4071,3427,1,0,0,0,56.0,1,2,0,2,2,0,2,0,0,1,1,0,64.65,3665.55,0,0,0
5301,6166,0,0,0,0,57.0,0,1,0,2,0,2,2,0,0,1,1,1,41.1,2258.25,0,0,0
6915,360,1,0,0,1,70.0,1,2,1,2,2,2,2,2,2,2,1,2,114.6,7882.5,0,1,0
352,6321,0,0,1,0,70.0,1,0,2,1,1,1,1,1,1,2,0,0,19.45,1303.5,0,0,0
3583,3353,0,0,0,0,40.0,1,0,0,2,2,0,0,2,0,0,0,3,65.1,2586.0,0,0,0
2198,4909,1,0,0,1,56.0,1,0,2,1,1,1,1,1,1,1,1,3,21.2,1238.65,0,0,0
3698,4996,0,0,0,0,37.0,1,2,0,2,0,0,0,2,0,1,0,0,64.65,2347.85,0,0,0
4971,2163,1,0,1,1,19.0,1,2,0,0,0,0,0,0,0,0,0,1,50.1,910.45,0,0,1
3222,2509,0,0,0,0,2.0,1,0,2,1,1,1,1,1,1,0,1,3,20.45,42.45,0,0,1
5838,3501,1,1,1,0,19.0,0,1,0,0,2,2,0,0,0,0,1,1,34.3,577.15,0,0,1
680,2616,1,1,0,0,65.0,1,2,1,2,0,2,2,2,2,2,1,2,110.35,7246.15,0,1,0
412,65,1,1,1,1,32.0,1,0,1,0,2,0,0,2,2,0,1,3,93.95,2861.45,0,1,0
2475,1450,0,0,1,0,67.0,1,2,2,1,1,1,1,1,1,2,1,1,25.25,1733.15,0,0,0
944,225,0,0,0,0,15.0,1,0,2,1,1,1,1,1,1,0,0,3,19.9,320.45,0,0,1
